prodvec,modelvec,newmodv,model_year,id,firmid,market,hpwt,space,air,mpd,price,mpg,quantity,share,share_out,japan,euro
AMGREM,AMGREM,AMGREM71,71,129,15,1,0.528997,1.150200,0.0000,1.888146,4.935802,1.697000,70.096,0.001051,0.880106,0,0
AMHORN,AMHORN,AMHORN71,71,130,15,1,0.494324,1.278000,0.0000,1.935989,5.516049,1.740000,44.678,0.000670,0.880106,0,0
AMJAVL,AMJAVL,AMJAVL71,71,132,15,1,0.467613,1.459200,0.0000,1.716799,7.108642,1.543000,22.705,0.000341,0.880106,0,0
AMMATA,AMMATA,AMMATA71,71,134,15,1,0.426540,1.606800,0.0000,1.687871,6.839506,1.517000,34.821,0.000522,0.880106,0,0
AMAMBS,AMAMBS,AMAMBS71,71,136,15,1,0.452489,1.645800,0.0000,1.504286,8.928395,1.352000,29.499,0.000442,0.880106,0,0
BKSKYL,BKSKYL,BKSKYL71,71,138,19,1,0.450871,1.622400,0.0000,1.726813,7.153086,1.552000,183.763,0.002756,0.880106,0,0
BKLSAB,BKLSAB,BKLSAB71,71,141,19,1,0.564002,1.768000,0.0000,1.727926,9.856790,1.553000,176.731,0.002651,0.880106,0,0
BKCNTU,BKCNTU,BKCNTU71,71,143,19,1,0.731368,1.768000,0.0000,2.194121,11.269136,1.972000,32.494,0.000487,0.880106,0,0
BKELCT,BKELCT,BKELCT71,71,144,19,1,0.719014,1.816000,0.0000,2.056154,12.135802,1.848000,161.031,0.002415,0.880106,0,0
BKRIVE,BKRIVE,BKRIVE71,71,145,19,1,0.728324,1.744000,0.0000,1.978269,12.970370,1.778000,36.765,0.000551,0.880106,0,0
CDCALA,CDCALA,CDCALA71,71,146,19,1,0.732484,1.808000,0.0000,1.918187,15.000000,1.724000,8.481,0.000127,0.880106,0,0
CDDEVI,CDDEVI,CDDEVI71,71,147,19,1,0.729387,1.808000,0.0000,1.912624,16.044444,1.719000,180.332,0.002705,0.880106,0,0
CDELDR,CDELDR,CDELDR71,71,148,19,1,0.780749,1.776000,0.0000,2.018324,18.229630,1.814000,35.613,0.000534,0.880106,0,0
CDFLTW,CDFLTW,CDFLTW71,71,149,19,1,0.716511,1.832000,0.0000,1.892596,19.167901,1.701000,22.194,0.000333,0.880106,0,0
CVVEGA,CVVEGA,CVVEGA71,71,150,19,1,0.419385,1.122000,0.0000,2.211923,5.160494,1.988000,267.033,0.004005,0.880106,0,0
CVNOVA,CVNOVA,CVNOVA71,71,151,19,1,0.487231,1.387000,0.0000,1.802473,5.938272,1.620000,235.553,0.003533,0.880106,0,0
CVCHEV,CVCHEV,CVCHEV71,71,153,19,1,0.451713,1.535200,0.0000,1.682308,6.609877,1.512000,335.378,0.005030,0.880106,0,0
CVCAMA,CVCAMA,CVCAMA71,71,158,19,1,0.468649,1.410000,0.0000,1.620000,7.212346,1.456000,120.803,0.001812,0.880106,0,0
CVMNTC,CVMNTC,CVMNTC71,71,160,19,1,0.702408,1.573200,0.0000,1.604423,8.434568,1.442000,145.787,0.002186,0.880106,0,0
CVBISC,CVBISC,CVBISC71,71,161,19,1,0.388532,1.736000,0.0000,1.417500,7.644444,1.274000,25.357,0.000380,0.880106,0,0
CVBELA,CVBELA,CVBELA71,71,163,19,1,0.388532,1.736000,0.0000,1.417500,7.982716,1.274000,48.786,0.000732,0.880106,0,0
CVIMPA,CVIMPA,CVIMPA71,71,165,19,1,0.385638,1.736000,0.0000,1.406374,8.372840,1.264000,577.313,0.008658,0.880106,0,0
CVCAPR,CVCAPR,CVCAPR71,71,167,19,1,0.631188,1.736000,0.0000,1.463118,10.207407,1.315000,139.272,0.002089,0.880106,0,0
CVCORV,CVCORV,CVCORV71,71,169,19,1,0.843223,1.262700,0.0000,1.872569,13.661728,1.683000,23.87,0.000358,0.880106,0,0
CRNEWP,CRNEWP,CRNEWP71,71,170,16,1,0.659314,1.800000,0.0000,1.528764,10.345679,1.374000,69.197,0.001038,0.880106,0,0
CR300,CR300,CR30071,71,171,16,1,0.775283,1.800000,0.0000,1.657830,11.572840,1.490000,7.98,0.000120,0.880106,0,0
CRNEWY,CRNEWY,CRNEWY71,71,172,16,1,0.772780,1.800000,0.0000,1.893709,12.123457,1.702000,22.581,0.000339,0.880106,0,0
DGCOLT,DGCOLT,DGCOLT71,71,173,16,1,0.495050,1.016800,0.0000,2.330975,4.925926,2.095000,28.381,0.000426,0.880106,0,0
DGDART,DGDART,DGDART71,71,177,16,1,0.431034,1.379000,0.0000,1.949341,6.049383,1.752000,208.085,0.003121,0.880106,0,0
DGCHLN,DGCHLN,DGCHLN71,71,179,16,1,0.413907,1.478400,0.0000,1.654492,6.733333,1.487000,29.356,0.000440,0.880106,0,0
