"","YEAR","SERIAL","MONTH","HWTFINL","CPSID","ASECFLAG","HFLAG","ASECWTH","HHINTYPE","CPI99","REGION","STATEFIP","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","HHINCOME","HOUSRET","PROPTAX","PUBHOUS","RENTSUB","HEATSUB","HEATVAL","FOODSTMP","STAMPNO","STAMPMO","ATELUNCH","LUNCHSUB","FRELUNCH","STAMPVAL","FAMINC","UNITSSTR","PHONE","ASECOVERH","HRHHID","HRHHID2","HSEQ","INTTYPE","PERNUM","WTFINL","CPSIDP","ASECWT","RELATE","AGE","SEX","RACE","EMPSTAT","LABFORCE","CLASSWKR","ABSENT","WKSTAT","EDUC","SCHLCOLL","DIFFANY","FTOTVAL","INCTOT"
"1",2009,30,3,NA,20080302903800,1,NA,494.9,1,0.774,11,23,1,9998,0,99998,0,46009,3885,1085,0,0,1,0,1,0,0,99,0,99,0,730,11,3,0,910934069324604,84001,30,NA,1,NA,20080302903801,494.9,101,55,1,100,10,2,21,0,11,91,0,1,46009,46009
"2",2009,964,3,NA,0,1,NA,272.76,1,0.774,11,23,1,9998,0,99998,0,110000,6782,4800,0,0,1,0,1,0,0,3,2,0,0,820,11,3,1,399240461700712,86001,1166,NA,2,NA,0,272.76,201,45,2,100,10,2,25,0,11,81,0,1,110000,51000
"3",2009,1013,3,NA,0,1,NA,247.16,1,0.774,11,23,1,9998,0,99998,0,17500,0,0,1,1,1,0,1,0,0,0,0,98,0,500,6,1,1,369815245680772,83002,1483,NA,2,NA,0,356.36,301,6,2,100,0,0,0,0,99,1,0,0,17500,999999999
"4",2009,1086,3,NA,20071202895000,1,NA,282.65,1,0.774,11,23,1,9998,0,99998,0,14800,0,0,1,1,1,0,2,5,12,2,1,2,3960,300,11,1,0,993009310616209,84001,1628,NA,5,NA,20071202895002,295.19,1260,35,2,100,34,1,0,1,99,73,0,1,0,0
"5",2009,2253,3,NA,0,1,NA,280.54,1,0.774,11,33,4,9999,0,99998,0,78843,0,0,1,1,1,0,1,0,0,2,2,0,0,996,11,3,1,233412054909672,83002,2505,NA,4,NA,0,253.05,301,14,2,100,0,0,0,0,99,1,0,0,78843,999999999
"6",2009,3006,3,NA,20081202771900,1,NA,435.38,1,0.774,11,33,4,9999,0,99998,0,55000,0,0,1,1,1,0,1,0,0,99,0,99,0,820,7,3,0,930063933359520,85001,3580,NA,1,NA,20081202771901,435.38,101,49,2,100,21,2,21,1,50,123,0,1,55000,55000
"7",2009,3632,3,NA,0,1,NA,241.13,1,0.774,11,33,3,1124,0,71650,0,519501,14755,10500,0,0,1,0,1,0,0,0,0,98,0,843,11,3,1,240834071732559,83001,3763,NA,5,NA,0,263.66,301,16,1,100,34,1,0,1,99,40,1,1,519501,500
"8",2009,4578,3,NA,20080206561000,1,NA,169.15,1,0.774,11,50,1,9998,0,99998,0,67385,2467,2000,0,0,1,0,1,0,0,4,2,0,0,830,11,3,0,940149330356508,84001,4987,NA,2,NA,20080206561002,169.15,201,40,2,100,10,2,21,0,11,92,0,1,67385,22010
"9",2009,4925,3,NA,0,1,NA,139.5,1,0.774,11,50,1,9998,0,99998,0,15391,0,0,2,0,1,0,2,2,12,99,0,99,1800,470,12,3,1,99915972170925,85001,5334,NA,2,NA,0,139.5,201,52,1,100,10,2,21,0,41,81,0,1,15391,7747
"10",2009,5136,3,NA,20090107052200,1,NA,450.43,1,0.774,11,50,4,1311,0,72400,0,69854,17405,400,0,0,1,0,1,0,0,99,0,99,0,841,12,3,0,606616855949950,85001,4694,NA,2,NA,20090107052202,475.31,1115,38,2,100,10,2,21,0,11,123,0,1,37554,37554
"11",2009,5596,3,NA,20080203174900,1,NA,1812.59,1,0.774,11,25,3,1124,0,71650,0,38948,11389,4000,0,0,1,0,1,0,0,1,2,0,0,830,11,3,0,93622351016607,84001,5482,NA,1,NA,20080203174903,1812.59,101,51,2,200,32,1,0,1,99,73,0,1,38948,16000
"12",2009,6655,3,NA,20090103746900,1,NA,1145.74,1,0.774,11,25,2,8001,0,78100,0,20000,1514,5368,0,0,1,0,1,0,0,3,2,0,0,996,5,3,0,552495066909196,85001,6573,NA,2,NA,20090103746902,1145.74,201,47,2,200,34,1,0,1,99,73,0,1,20000,0
"13",2009,7259,3,NA,20090205688900,1,NA,247.52,1,0.774,11,44,3,6483,0,77200,0,686,2545,1900,0,0,1,0,1,0,0,0,0,98,0,720,11,3,0,740409921262787,85001,7259,NA,1,NA,20090205688901,247.52,101,53,1,100,10,2,21,0,11,73,0,1,686,0
"14",2009,9749,3,NA,0,1,NA,633.64,1,0.774,11,9,3,3284,0,73450,0,272413,4614,6000,0,0,1,0,1,0,0,99,0,99,0,843,11,3,1,162019195040200,83002,9574,NA,1,NA,0,633.64,101,35,1,100,10,2,21,0,12,125,0,1,272413,58000
"15",2009,10651,3,NA,0,1,NA,1833.66,1,0.774,12,36,1,9998,0,99998,0,110250,7099,3400,0,0,1,0,1,0,0,99,0,99,0,996,11,3,1,408603683999066,83001,10651,NA,3,NA,0,2083.79,301,27,1,100,34,1,21,1,99,50,0,1,110250,250
"16",2009,10999,3,NA,0,1,NA,1436.58,1,0.774,12,36,2,160,0,10580,0,0,0,0,2,0,2,600,2,1,12,99,0,99,2112,100,11,1,1,956409510479307,86001,10717,NA,1,NA,0,1436.58,101,71,1,200,10,2,21,0,41,2,0,2,0,0
"17",2009,11111,3,NA,20090304616500,1,NA,2940.64,1,0.774,12,36,3,160,0,10580,0,120706,6305,5000,0,0,1,0,1,0,0,99,0,99,0,841,11,3,0,391918906090639,85001,10829,NA,1,NA,20090304616501,2940.64,101,67,1,100,10,2,21,0,11,123,0,1,120706,92470
"18",2009,11395,3,NA,0,1,NA,1995.72,1,0.774,12,36,2,1280,0,15380,1,14000,0,0,1,1,2,430,2,9,12,3,1,3,9600,996,7,1,1,863904053908392,83001,11113,NA,4,NA,0,1576.87,301,7,2,200,0,0,0,0,99,1,0,0,14000,999999999
"19",2009,12882,3,NA,20081201374700,1,NA,1634.13,1,0.774,12,36,2,5606,36061,35620,0,17565,0,0,1,2,1,0,2,2,12,3,1,3,4000,300,12,3,0,959398569600155,85001,12760,NA,6,NA,20081201374703,1631.59,1001,43,2,200,34,1,0,1,99,40,0,1,0,0
"20",2009,13854,3,NA,20080104604400,1,NA,1327.48,1,0.774,12,36,3,5606,36103,35620,0,70000,2986,3500,0,0,1,0,1,0,0,2,2,0,0,830,11,3,0,38953260968891,84001,13732,NA,4,NA,20080104604403,1137.3,301,9,2,100,0,0,0,0,99,1,0,0,70000,999999999
"21",2009,15632,3,NA,0,1,NA,1250.32,1,0.774,12,34,3,5606,0,35620,0,51030,14748,9600,0,0,1,0,1,0,0,0,0,98,0,830,11,3,1,350840598235379,83001,15632,NA,5,NA,0,1229.97,1001,30,2,100,36,1,0,1,99,111,0,1,51030,0
"22",2009,17523,3,NA,0,1,NA,1303.69,1,0.774,12,42,2,240,0,10900,0,22000,0,0,1,1,1,0,2,3,12,99,0,99,6108,430,12,3,1,48274520997994,84001,17126,NA,2,NA,0,1421.45,301,3,1,200,0,0,0,0,99,1,0,0,0,999999999
"23",2009,17821,3,NA,20080205584800,1,NA,2925.32,1,0.774,12,42,4,3680,42021,27780,0,4976,2041,1850,0,0,1,0,2,1,12,99,0,99,2160,996,11,3,0,140925097843119,84001,17644,NA,1,NA,20080205584801,2925.32,101,53,2,100,10,2,28,0,11,81,0,1,4976,4976
"24",2009,19812,3,NA,20080205175500,1,NA,2860.69,1,0.774,21,39,1,9998,0,99998,0,17914,1708,217,0,0,1,0,1,0,0,99,0,99,0,996,11,3,0,430996065733129,84001,19812,NA,2,NA,20080205175502,2860.69,201,80,1,100,36,1,0,1,99,50,0,1,17914,10157
