year,tea,sugar,peanuts,coffee,cocoa,wheat,rye,rice,corn,barley,pork,beef,lamb
1870,128.8456471,151.4066496,203.4221599,88.06728023,78.81756614,88.10217806,103.3932136,83.47826087,121.3739706,103.2411067,107.813162,73.54037267,63.25718497
1871,131.7307692,167.1568627,221.7741935,108.7287105,66.68648434,118.1572376,105.251996,84.54391892,88.39328498,130.2364865,68.46614368,86.75595238,73.41101695
1872,134.4551282,161.7647059,188.5080645,140.0927616,71.59135949,121.5237987,102.0958084,92.90540541,69.22917756,124.6621622,58.64471511,85.11904762,78.0720339
1873,136.3373121,154.1041244,178.8264739,172.8699975,65.75266172,116.0568535,106.0289765,91.03448276,67.1369892,166.0344828,62.87123779,93.56321839,84.44476914
1874,146.0888146,153.246661,230.7094437,187.2449002,69.92480771,113.2020466,125.9770314,99.63768116,127.551727,174.2753623,87.61369212,89.5315735,77.48096291
1875,149.1734143,150.0073714,197.4290565,175.6701288,69.35591059,110.3820155,115.900905,85.80827068,126.5048116,160.9022556,112.7024829,100.1834945,92.06384606
1876,149.932134,159.7614599,171.8525878,184.241566,80.70381938,113.8260929,106.3359326,95.28392685,91.22964198,131.8575553,105.6454747,96.99802924,95.60692321
1877,149.3646583,188.6989278,152.6330844,197.8502711,87.766538,144.3082566,97.00480812,108.3743842,94.54140154,124.729064,83.971802,93.56321839,93.78976371
1878,150.0092806,165.0546465,160.2094939,169.4736734,95.96756377,115.0911559,91.5707365,113.753878,82.20873239,120.7859359,60.33558291,98.20751465,97.01856169
1879,144.0246069,158.4524606,133.0553424,149.3423276,108.4412239,118.1594082,113.2452778,110.3412616,78.66648539,123.8883144,61.10020435,90.19057468,91.31158747
1880,128.9528836,164.2785066,132.4826666,145.1010227,96.58458029,122.7266401,122.143201,101.0090817,80.66506909,133.8042381,75.5599737,95.82912883,91.88458841
1881,122.7302129,170.7208009,145.7309332,118.3707913,88.23095933,133.5282312,150.3427051,93.23915237,107.4973683,165.2875883,99.6387804,93.87343232,96.06116062
1882,120.4326115,164.2785066,190.7750399,103.7815809,87.33936383,136.1559065,103.452832,83.24924319,144.4110121,127.346115,120.122723,99.74052184,100.2377328
1883,121.7407378,161.0872155,213.6340985,105.3837859,94.79442068,120.2242591,97.71928851,91.76107106,116.9129086,121.3182286,100.7911515,101.7949095,103.7232278
1884,117.5173232,117.4821138,173.9493233,110.4202219,86.94188023,100.1954836,91.23204695,90.22082019,115.9245392,101.5772871,92.23808048,99.85979671,92.84784972
1885,122.7632882,119.8771354,112.6955559,91.97429461,87.50663424,103.2523275,101.1110826,82.61802575,97.41371252,119.527897,72.84264769,91.49805845,82.89808686
